year,price,assemble_place,series,km,transmission,brand,model,engine_type_Dầu,engine_type_Hybrid,engine_type_Xăng,engine_type_Điện
2022,695000000.0,0,585967971.5302491,12000,1,779925386.934662,684473478.6666083,False,False,True,False
2020,799000000.0,0,1311185155.3045583,58000,1,587584821.4285715,806826623.2093493,False,False,True,False
2019,2699000000.0,0,869486499.8761456,64000,1,1638801954.3973942,2709730133.481019,False,False,True,False
2015,325000000.0,0,869486499.8761456,8000,1,597649694.5010183,347152465.07648355,False,False,True,False
2021,2179000000.0,0,869486499.8761456,16900,1,1638801954.3973942,1681239757.7729352,False,False,True,False
2020,705000000.0,0,1311185155.3045583,60000,1,615941062.8019323,690408959.7679541,False,False,True,False
2023,919000000.0,0,1311185155.3045583,8000,1,615941062.8019323,908363244.0375105,False,False,True,False
2021,799000000.0,0,585967971.5302491,7000,1,619890078.5153462,750043344.5736727,False,False,True,False
2015,520000000.0,0,1311185155.3045583,101586,1,894757575.7575758,487412184.12997556,False,False,True,False
2017,1159000000.0,0,1311185155.3045583,32000,1,1638801954.3973942,1484442236.1364818,False,False,True,False
2013,535000000.0,1,869486499.8761456,51000,1,1133343531.3888328,493028687.3733628,False,False,True,False
2017,1789000000.0,1,1311185155.3045583,68000,1,2738120992.5405693,1789000000.0,False,False,True,False
2019,1179000000.0,0,869486499.8761456,80000,1,1638801954.3973942,974736262.0310162,False,False,True,False
2022,609000000.0,0,869486499.8761456,36000,1,587584821.4285715,626159976.8588506,False,False,True,False
2023,1259000000.0,0,1311185155.3045583,17000,1,587584821.4285715,1223760219.0075743,False,False,False,True
2015,678000000.0,1,869486499.8761456,72000,1,1638801954.3973942,688461884.4962155,False,False,True,False
2021,1490000000.0,0,1311185155.3045583,82059,1,1638801954.3973942,1685044019.7860174,False,False,True,False
2012,535000000.0,1,869486499.8761456,80450,1,1437003831.402568,815993691.303144,False,False,True,False
2015,1299000000.0,0,869486499.8761456,73600,1,1638801954.3973942,1355122864.6117113,False,False,True,False
2017,679000000.0,0,869486499.8761456,51000,1,894757575.7575758,594353166.0343503,False,False,True,False
2007,559000000.0,1,869486499.8761456,90000,1,2491556000.0,559000000.0,False,False,True,False
2019,1189000000.0,0,869486499.8761456,41000,1,1638801954.3973942,1242151893.8641334,False,False,True,False
2017,979000000.0,1,1958786274.283173,46000,1,1392944691.7461114,959031268.7501472,False,False,True,False
2022,4659000000.0,1,1311185155.3045583,3000,1,1638801954.3973942,4230017700.497753,False,False,True,False
2018,650000000.0,1,1311185155.3045583,56000,1,460170579.7411802,651004715.0214726,False,False,True,False
2019,288000000.0,0,365127604.1666667,59000,1,587584821.4285715,320068462.96604824,False,False,True,False
2017,2330000000.0,1,1311185155.3045583,64000,1,2491556000.0,1604030770.3663225,False,False,True,False
2018,407000000.0,0,1311185155.3045583,68000,1,746060164.083865,455119814.4416843,False,False,True,False
2010,389000000.0,0,1311185155.3045583,100000,1,1638801954.3973942,389671584.1484899,False,False,True,False
2017,398000000.0,0,365127604.1666667,86000,1,615941062.8019323,439754548.10094404,False,False,True,False
2020,407000000.0,0,869486499.8761456,68000,1,894757575.7575758,412003832.4940649,False,False,True,False
2023,1259000000.0,0,1311185155.3045583,20000,1,587584821.4285715,1223760219.0075743,False,False,False,True
2017,359000000.0,0,1311185155.3045583,76000,1,746060164.083865,406012078.4875256,False,False,True,False
2017,1299000000.0,1,869486499.8761456,112000,1,1868142663.8176637,963577114.0299644,False,False,True,False
2020,889000000.0,0,1311185155.3045583,39000,0,894757575.7575758,764636120.2461641,True,False,False,False
2018,279000000.0,1,365127604.1666667,52000,1,894757575.7575758,292822348.17158914,False,False,True,False
2022,1436000000.0,1,869486499.8761456,16000,1,1133343531.3888328,1444717840.0790746,False,False,True,False
2021,645000000.0,0,365127604.1666667,51000,1,615941062.8019323,649080419.7489427,False,False,True,False
2018,645000000.0,0,1311185155.3045583,78888,1,615941062.8019323,640044855.260039,False,False,True,False
2020,938000000.0,0,1311185155.3045583,38000,1,894757575.7575758,890616399.3395492,True,False,False,False
2022,595000000.0,0,869486499.8761456,16000,1,615941062.8019323,573440652.796361,False,False,True,False
2022,630000000.0,0,585967971.5302491,42000,1,779925386.934662,963577114.0299644,False,False,True,False
2022,4599000000.0,1,1311185155.3045583,34000,1,1638801954.3973942,4230017700.497753,False,False,True,False
2021,5999000000.0,1,869486499.8761456,3800,1,3343025086.127608,4040092842.0645885,False,False,True,False
2018,395000000.0,0,869486499.8761456,65000,1,894757575.7575758,409803820.3442617,False,False,True,False
2019,495000000.0,0,869486499.8761456,60000,1,615941062.8019323,573440652.796361,False,False,True,False
2022,799000000.0,1,1311185155.3045583,17350,1,894757575.7575758,771121558.4235364,False,False,True,False
2021,999000000.0,0,1311185155.3045583,60000,1,619890078.5153462,1085598240.559433,False,False,True,False
2012,398000000.0,0,869486499.8761456,129000,1,1638801954.3973942,1242151893.8641334,False,False,True,False
2021,775000000.0,0,1311185155.3045583,19000,1,615941062.8019323,806326894.6341593,False,False,True,False
2022,589000000.0,0,869486499.8761456,12000,1,615941062.8019323,573440652.796361,False,False,True,False
2018,735000000.0,0,1311185155.3045583,79000,1,619890078.5153462,698336019.3764288,False,False,True,False
2020,699000000.0,0,585967971.5302491,46000,1,619890078.5153462,691834334.8763967,False,False,True,False
2016,515000000.0,0,1311185155.3045583,79000,1,598582076.3087844,502539790.10287535,False,False,True,False
2021,575000000.0,0,869486499.8761456,38000,1,587584821.4285715,585493241.2231768,False,False,True,False
2021,920000000.0,1,1311185155.3045583,35000,1,746060164.083865,1063181256.9806935,True,False,False,False
2017,1055000000.0,0,1311185155.3045583,78000,1,1638801954.3973942,1484442236.1364818,False,False,True,False
2022,589000000.0,1,585967971.5302491,39000,1,615941062.8019323,587678583.9305001,False,False,True,False
2020,459000000.0,1,1311185155.3045583,63000,0,517867850.09861934,468456216.95980304,False,False,True,False
2021,316000000.0,0,869486499.8761456,36000,0,619890078.5153462,318539399.0122201,False,False,True,False
2021,397000000.0,0,869486499.8761456,60000,0,619890078.5153462,364965670.74160594,False,False,True,False
2019,356000000.0,0,869486499.8761456,92000,0,894757575.7575758,357017798.37443525,False,False,True,False
2001,666000000.0,0,869486499.8761456,86000,1,1638801954.3973942,963577114.0299644,False,False,True,False
2022,1798000000.0,0,1311185155.3045583,7000,1,1638801954.3973942,1685044019.7860174,False,False,True,False
2018,580000000.0,0,1311185155.3045583,82689,1,460170579.7411802,963577114.0299644,False,False,True,False
2020,306000000.0,0,365127604.1666667,56000,1,587584821.4285715,320068462.96604824,False,False,True,False
2020,635000000.0,0,1311185155.3045583,60000,1,517867850.09861934,631229105.8035403,False,False,True,False
2022,528000000.0,1,1311185155.3045583,99000,1,894757575.7575758,514329548.1061595,False,False,True,False
2010,318000000.0,1,1311185155.3045583,90000,1,460170579.7411802,963577114.0299644,False,False,True,False
2021,925000000.0,0,1311185155.3045583,46000,1,619890078.5153462,963875505.9249393,True,False,False,False
2022,1759000000.0,0,1311185155.3045583,9500,1,1638801954.3973942,1685044019.7860174,False,False,True,False
2019,925000000.0,1,1311185155.3045583,58000,1,746060164.083865,968289679.9923269,True,False,False,False
2019,495000000.0,0,869486499.8761456,58000,1,615941062.8019323,573440652.796361,False,False,True,False
2023,2799000000.0,0,1311185155.3045583,7500,1,1638801954.3973942,1484442236.1364818,False,False,True,False
2023,2579000000.0,0,869486499.8761456,6800,1,1638801954.3973942,2579000000.0,False,False,True,False
2021,1499000000.0,0,1311185155.3045583,27000,1,1638801954.3973942,1360602485.6939301,False,False,True,False
2017,1099000000.0,0,1311185155.3045583,30000,1,1638801954.3973942,1070557349.0359056,False,False,True,False
2022,2179000000.0,1,1050158823.5294118,19000,1,1638801954.3973942,1916336098.8360503,False,False,True,False
2022,1939000000.0,1,869486499.8761456,15000,1,1638801954.3973942,1242151893.8641334,False,False,True,False
2016,2500000000.0,1,1311185155.3045583,52000,1,1635362654.0766022,2149784995.6587534,False,False,True,False
2018,755000000.0,0,1311185155.3045583,73000,1,619890078.5153462,755546131.6869215,True,False,False,False
2022,4630000000.0,1,1311185155.3045583,9493,1,1638801954.3973942,4230017700.497753,False,False,True,False
2022,750000000.0,0,869486499.8761456,28000,1,598582076.3087844,747874227.1870176,False,False,True,False
2018,735000000.0,0,1311185155.3045583,58000,1,619890078.5153462,698336019.3764288,False,False,True,False
2019,848000000.0,0,1311185155.3045583,79000,1,894757575.7575758,890616399.3395492,True,False,False,False
2015,275000000.0,1,365127604.1666667,90000,1,619890078.5153462,329309165.51239985,False,False,True,False
2021,3080000000.0,1,1311185155.3045583,30000,1,2491556000.0,3010725340.064486,False,False,True,False
2009,300000000.0,0,869486499.8761456,160000,1,894757575.7575758,379207686.54930437,False,False,True,False
2022,2099000000.0,0,1311185155.3045583,10000,1,1638801954.3973942,1484442236.1364818,False,False,True,False
2020,2739000000.0,1,1311185155.3045583,22000,1,3343025086.127608,1931993153.9578838,False,False,True,False
2018,698000000.0,0,1311185155.3045583,51000,1,619890078.5153462,680915663.2547765,False,False,True,False
2021,615000000.0,0,869486499.8761456,32000,1,587584821.4285715,585493241.2231768,False,False,True,False
2011,235000000.0,1,869486499.8761456,60000,0,391172572.33661175,181398218.28639755,False,False,True,False
2011,480000000.0,1,1311185155.3045583,80000,1,619890078.5153462,425691018.4850522,True,False,False,False
2022,465000000.0,0,869486499.8761456,31000,1,894757575.7575758,467898542.71650296,False,False,True,False
2020,1759000000.0,0,1311185155.3045583,19000,1,1638801954.3973942,1484442236.1364818,False,False,True,False
2018,635000000.0,0,1311185155.3045583,80000,1,615941062.8019323,601419693.7968066,False,False,True,False
2022,795000000.0,0,1311185155.3045583,20000,1,615941062.8019323,806326894.6341593,False,False,True,False
2019,675000000.0,0,1311185155.3045583,57000,1,615941062.8019323,601419693.7968066,False,False,True,False
2019,418000000.0,0,869486499.8761456,55000,1,619890078.5153462,425716726.342299,False,False,True,False
2022,569000000.0,0,585967971.5302491,20000,1,598582076.3087844,571786013.9434265,False,False,True,False
2014,489000000.0,0,1311185155.3045583,12000,1,894757575.7575758,533966393.86165595,False,False,True,False
2021,599000000.0,0,869486499.8761456,40000,1,587584821.4285715,585493241.2231768,False,False,True,False
2022,1439000000.0,1,869486499.8761456,11000,1,1133343531.3888328,1444717840.0790746,False,False,True,False
2008,175000000.0,0,1050158823.5294118,300000,0,1638801954.3973942,201044266.2708171,True,False,False,False
2012,270000000.0,0,869486499.8761456,90000,1,619890078.5153462,277584937.8197538,False,False,True,False
2006,258000000.0,0,869486499.8761456,180000,1,894757575.7575758,324051211.23931396,False,False,True,False
2007,365000000.0,1,869486499.8761456,100000,1,894757575.7575758,348722994.65815645,False,False,True,False
2019,1139000000.0,0,869486499.8761456,40000,1,1638801954.3973942,1242151893.8641334,False,False,True,False
2003,120000000.0,0,1311185155.3045583,110000,0,894757575.7575758,98454981.85203086,False,False,True,False
2009,415000000.0,0,1050158823.5294118,200000,0,619890078.5153462,963577114.0299644,True,False,False,False
2022,350000000.0,0,365127604.1666667,29000,1,587584821.4285715,332105618.00157684,False,False,True,False
2020,2730000000.0,1,1311185155.3045583,36000,1,3343025086.127608,1931993153.9578838,False,False,True,False
2022,3550000000.0,1,1311185155.3045583,16000,1,2491556000.0,3615236895.515604,False,False,True,False
2010,940000000.0,1,1311185155.3045583,140000,1,3343025086.127608,1720272919.0931344,False,False,True,False
2023,1285000000.0,1,1311185155.3045583,16000,1,746060164.083865,1063181256.9806935,True,False,False,False
2020,385000000.0,0,869486499.8761456,10000,0,894757575.7575758,357017798.37443525,False,False,True,False
2023,765000000.0,0,1311185155.3045583,11000,1,615941062.8019323,732258051.0209339,False,False,True,False
2018,655000000.0,1,1311185155.3045583,70000,0,894757575.7575758,764636120.2461641,True,False,False,False
2023,2698000000.0,0,1311185155.3045583,6800,1,1638801954.3973942,1484442236.1364818,False,False,True,False
1997,540000000.0,1,869486499.8761456,220000,0,894757575.7575758,547553030.0917603,False,False,True,False
2021,955000000.0,0,1311185155.3045583,66000,1,894757575.7575758,890616399.3395492,True,False,False,False
2020,695000000.0,1,1311185155.3045583,70000,1,894757575.7575758,771121558.4235364,False,False,True,False
2011,488000000.0,1,869486499.8761456,130000,1,1061786662.3768337,488000000.0,False,False,True,False
2017,695000000.0,1,1311185155.3045583,120000,0,894757575.7575758,764636120.2461641,True,False,False,False
2021,775000000.0,0,1311185155.3045583,50000,1,615941062.8019323,806326894.6341593,False,False,True,False
2013,465000000.0,0,1311185155.3045583,74000,1,597649694.5010183,467730681.4202011,False,False,True,False
2022,595000000.0,1,1311185155.3045583,38000,1,894757575.7575758,597397157.5001746,False,False,True,False
2021,648000000.0,1,585967971.5302491,36000,1,597649694.5010183,585057131.0852218,False,False,True,False
2017,525000000.0,1,869486499.8761456,70000,1,597649694.5010183,520512744.5633251,False,False,True,False
2020,595000000.0,1,869486499.8761456,80000,1,597649694.5010183,590413216.0681971,False,False,True,False
2021,650000000.0,1,670343532.6842837,80000,1,894757575.7575758,646698998.92708,True,False,False,False
2016,360000000.0,0,869486499.8761456,100000,1,597649694.5010183,347152465.07648355,False,False,True,False
2022,343000000.0,0,365127604.1666667,26800,1,598582076.3087844,326930368.4429901,False,False,True,False
2022,960000000.0,0,1311185155.3045583,12000,1,597649694.5010183,868534255.2222506,False,False,True,False
