car_name,year,price,assemble_place,series,km,engine_type,transmission,url,brand,model
Peugeot 2008 GT Line 1.2 AT,2022,695000000.0,Lắp ráp trong nước,Crossover,40000,Xăng,Số tự động,https://bonbanh.com/xe-peugeot-2008-gt-line-1.2-at-2022-5593734,Peugeot,2008 GT Line 1.2 AT
BMW X4 xDrive20i M Sport,2020,1999000000.0,Nhập khẩu,SUV,43000,Xăng,Số tự động,https://bonbanh.com/xe-bmw-x4-xdrive20i-m-sport-2020-5491531,BMW,X4 xDrive20i M Sport
Kia Seltos Premium 1.4 AT,2021,620000000.0,Lắp ráp trong nước,Crossover,60000,Xăng,Số tự động,https://bonbanh.com/xe-kia-seltos-premium-1.4-at-2021-5507923,Kia,Seltos Premium 1.4 AT
Ford Ranger Raptor 2.0L 4x4 AT,2020,940000000.0,Nhập khẩu,Pickup,70000,Dầu,Số tự động,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2020-5463330,Ford,Ranger Raptor 2.0L 4x4 AT
Toyota Fortuner 2.7V 4x2 AT,2018,755000000.0,Nhập khẩu,SUV,50000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2018-5416894,Toyota,Fortuner 2.7V 4x2 AT
Mazda CX3 Deluxe 1.5 AT,2022,555000000.0,Nhập khẩu,Crossover,50000,Xăng,Số tự động,https://bonbanh.com/xe-mazda-cx3-deluxe-1.5-at-2022-5566368,Mazda,CX3 Deluxe 1.5 AT
Toyota Corolla Cross 1.8V,2021,759000000.0,Nhập khẩu,SUV,20000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2021-5620556,Toyota,Corolla Cross 1.8V
Toyota Vios E 1.5 MT,2022,435000000.0,Lắp ráp trong nước,Sedan,8000,Xăng,Số tay,https://bonbanh.com/xe-toyota-vios-e-1.5-mt-2022-5620521,Toyota,Vios E 1.5 MT
Kia Sorento Signature 2.2 AT AWD,2022,1055000000.0,Lắp ráp trong nước,SUV,40000,Dầu,Số tự động,https://bonbanh.com/xe-kia-sorento-signature-2.2-at-awd-2022-5546828,Kia,Sorento Signature 2.2 AT AWD
Ford Focus 1.8 AT,2013,255000000.0,Lắp ráp trong nước,Hatchback,120000,Xăng,Số tự động,https://bonbanh.com/xe-ford-focus-1.8-at-2013-5472315,Ford,Focus 1.8 AT
Mercedes Benz GLS 450 4Matic,2021,4399000000.0,Nhập khẩu,SUV,10000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-gls-450-4matic-2021-5498461,Mercedes,Benz GLS 450 4Matic
Mercedes Benz GLC 300 4Matic,2021,1829000000.0,Lắp ráp trong nước,SUV,28000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2021-5497130,Mercedes,Benz GLC 300 4Matic
Mercedes Benz GLC 200,2022,1399000000.0,Lắp ráp trong nước,SUV,17000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-glc-200-2022-5608267,Mercedes,Benz GLC 200
Kia Sedona 2.2 DAT Luxury,2020,945000000.0,Lắp ráp trong nước,Van/Minivan,39000,Dầu,Số tự động,https://bonbanh.com/xe-kia-sedona-2.2-dat-luxury-2020-5631625,Kia,Sedona 2.2 DAT Luxury
BMW 3 Series 320i,2016,679000000.0,Nhập khẩu,Sedan,88000,Xăng,Số tự động,https://bonbanh.com/xe-bmw-3_series-320i-2016-5547453,BMW,3 Series 320i
VinFast Fadil Tiêu chuẩn 1.4 AT,2022,339000000.0,Lắp ráp trong nước,Hatchback,21000,Xăng,Số tự động,https://bonbanh.com/xe-vinfast-fadil-tieu-chuan-1.4-at-2022-5559431,VinFast,Fadil Tiêu chuẩn 1.4 AT
Hyundai Avante 1.6 MT,2015,238000000.0,Lắp ráp trong nước,Sedan,86000,Xăng,Số tay,https://bonbanh.com/xe-hyundai-avante-1.6-mt-2015-5641025,Hyundai,Avante 1.6 MT
Hyundai SantaFe Cao cấp 2.5L HTRAC,2021,999000000.0,Lắp ráp trong nước,SUV,50000,Xăng,Số tự động,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.5l-htrac-2021-5617166,Hyundai,SantaFe Cao cấp 2.5L HTRAC
Hyundai Elantra 2.0 AT,2019,495000000.0,Lắp ráp trong nước,Sedan,58000,Xăng,Số tự động,https://bonbanh.com/xe-hyundai-elantra-2.0-at-2019-5638063,Hyundai,Elantra 2.0 AT
