car_name,year,price,assemble_place,series,km,engine_type,transmission,url,brand,model
Ford Ranger XLS 2.2L 4x2 AT,2015,369000000.0,Nhập khẩu,Pickup,89000,Dầu,Số tự động,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2015-5422799,Ford,Ranger XLS 2.2L 4x2 AT
Toyota Fortuner Legender 2.4L 4x2 AT,2022,1095000000.0,Lắp ráp trong nước,SUV,37000,Dầu,Số tự động,https://bonbanh.com/xe-toyota-fortuner-legender-2.4l-4x2-at-2022-5600283,Toyota,Fortuner Legender 2.4L 4x2 AT
LandRover Range Rover Sport Autobiography 5.0 V8,2014,1590000000.0,Nhập khẩu,SUV,120000,Xăng,Số tự động,https://bonbanh.com/xe-landrover-range_rover_sport-autobiography-5.0-v8-2014-5637953,LandRover,Range Rover Sport Autobiography 5.0 V8
Toyota Fortuner 2.7V 4x4 AT,2017,735000000.0,Nhập khẩu,SUV,90000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x4-at-2017-5604761,Toyota,Fortuner 2.7V 4x4 AT
Mercedes Benz GLC 200,2021,1395000000.0,Lắp ráp trong nước,SUV,40000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-glc-200-2021-5610654,Mercedes,Benz GLC 200
Mitsubishi Pajero Sport 3.0G 4x4 AT,2017,680000000.0,Nhập khẩu,SUV,69000,Xăng,Số tự động,https://bonbanh.com/xe-mitsubishi-pajero-sport-3.0g-4x4-at-2017-5559542,Mitsubishi,Pajero Sport 3.0G 4x4 AT
Mercedes Benz S class S450,2022,4750000000.0,Nhập khẩu,Sedan,30571,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-s_class-s450-2022-5564278,Mercedes,Benz S class S450
Toyota Innova 2.0E,2014,325000000.0,Lắp ráp trong nước,Crossover,130000,Xăng,Số tay,https://bonbanh.com/xe-toyota-innova-2.0e-2014-5640329,Toyota,Innova 2.0E
Lexus RX 300,2022,3120000000.0,Nhập khẩu,SUV,18000,Xăng,Số tự động,https://bonbanh.com/xe-lexus-rx-300-2022-5216616,Lexus,RX 300
Chevrolet Spark LTZ 1.0 AT,2013,190000000.0,Lắp ráp trong nước,Hatchback,82000,Xăng,Số tự động,https://bonbanh.com/xe-chevrolet-spark-ltz-1.0-at-2013-5593972,Chevrolet,Other
Peugeot 5008 Allure 1.6 AT,2020,799000000.0,Lắp ráp trong nước,SUV,58000,Xăng,Số tự động,https://bonbanh.com/xe-peugeot-5008-allure-1.6-at-2020-5548316,Peugeot,5008 Allure 1.6 AT
Toyota Fortuner 2.4G 4x2 MT,2019,795000000.0,Nhập khẩu,SUV,121000,Dầu,Số tay,https://bonbanh.com/xe-toyota-fortuner-2.4g-4x2-mt-2019-5577227,Toyota,Fortuner 2.4G 4x2 MT
Toyota Land Cruiser VX 4.6 V8,2016,2990000000.0,Nhập khẩu,SUV,16000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-land_cruiser-vx-4.6-v8-2016-5623380,Toyota,Land Cruiser VX 4.6 V8
Mercedes Benz E class E200 Exclusive,2022,2099000000.0,Lắp ráp trong nước,Sedan,10000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-e_class-e200-exclusive-2022-5267810,Mercedes,Benz E class E200 Exclusive
Mazda 6 Luxury 2.0 AT,2019,598000000.0,Lắp ráp trong nước,Sedan,38000,Xăng,Số tự động,https://bonbanh.com/xe-mazda-6-luxury-2.0-at-2019-5637744,Mazda,6 Luxury 2.0 AT
Mercedes Benz A class A35 AMG 4Matic,2021,1439000000.0,Nhập khẩu,Sedan,7900,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-a_class-a35-amg-4matic-2021-5267112,Mercedes,Other
Lexus LX 570,2016,4750000000.0,Nhập khẩu,SUV,50000,Xăng,Số tự động,https://bonbanh.com/xe-lexus-lx-570-2016-5216466,Lexus,LX 570
Toyota Vios G 1.5 CVT,2021,485000000.0,Lắp ráp trong nước,Sedan,42000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2021-5610888,Toyota,Vios G 1.5 CVT
Mazda 3 1.5 AT,2017,455000000.0,Lắp ráp trong nước,Sedan,67000,Xăng,Số tự động,https://bonbanh.com/xe-mazda-3-1.5-at-2017-5637779,Mazda,3 1.5 AT
Hyundai Elantra 2.0 AT,2019,499000000.0,Lắp ráp trong nước,Sedan,80000,Xăng,Số tự động,https://bonbanh.com/xe-hyundai-elantra-2.0-at-2019-5558005,Hyundai,Elantra 2.0 AT
Toyota Camry 2.4G,2010,365000000.0,Lắp ráp trong nước,Sedan,130000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-camry-2.4g-2010-5581075,Toyota,Camry 2.4G
Mercedes Benz S class S400L,2016,1580000000.0,Lắp ráp trong nước,Sedan,52000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2016-5638805,Mercedes,Benz S class S400L
Toyota Land Cruiser 4.6 V8,2019,3888000000.0,Nhập khẩu,SUV,130000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-land_cruiser-4.6-v8-2019-5605097,Toyota,Land Cruiser 4.6 V8
Honda City L 1.5 AT,2021,455000000.0,Lắp ráp trong nước,Sedan,120000,Xăng,Số tự động,https://bonbanh.com/xe-honda-city-l-1.5-at-2021-5597216,Honda,City L 1.5 AT
Toyota Land Cruiser 3.5 V6,2023,5150000000.0,Nhập khẩu,SUV,13000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2023-5633228,Toyota,Land Cruiser 3.5 V6
BMW 3 Series 320i M Sport,2023,1579000000.0,Lắp ráp trong nước,Sedan,12000,Xăng,Số tự động,https://bonbanh.com/xe-bmw-3_series-320i-m-sport-2023-5640328,BMW,3 Series 320i M Sport
Ford Everest 2.5L 4x2 MT,2005,160000000.0,Lắp ráp trong nước,SUV,20852,Dầu,Số tay,https://bonbanh.com/xe-ford-everest-2.5l-4x2-mt-2005-5613890,Ford,Everest 2.5L 4x2 MT
Toyota Wigo 1.2 MT,2020,290000000.0,Nhập khẩu,Hatchback,48000,Xăng,Số tay,https://bonbanh.com/xe-toyota-wigo-1.2-mt-2020-5582677,Toyota,Wigo 1.2 MT
BMW 3 Series 320i,2015,595000000.0,Nhập khẩu,Sedan,56000,Xăng,Số tự động,https://bonbanh.com/xe-bmw-3_series-320i-2015-5624858,BMW,3 Series 320i
Mercedes Benz C class C180,2020,865000000.0,Lắp ráp trong nước,Sedan,50000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-c_class-c180-2020-5371516,Mercedes,Benz C class C180
Kia Morning AT,2021,305000000.0,Lắp ráp trong nước,Hatchback,48000,Xăng,Số tự động,https://bonbanh.com/xe-kia-morning-at-2021-5517184,Kia,Morning AT
Hyundai Accent 1.4 AT Đặc Biệt,2020,435000000.0,Lắp ráp trong nước,Sedan,50000,Xăng,Số tự động,https://bonbanh.com/xe-hyundai-accent-1.4-at-dac-biet-2020-5605265,Hyundai,Accent 1.4 AT Đặc Biệt
Kia Cerato 1.6 MT,2017,360000000.0,Lắp ráp trong nước,Sedan,17377,Xăng,Số tay,https://bonbanh.com/xe-kia-cerato-1.6-mt-2017-5608029,Kia,Cerato 1.6 MT
Mercedes Benz Sprinter Business 311,2009,180000000.0,Lắp ráp trong nước,Van/Minivan,300000,Dầu,Số tay,https://bonbanh.com/xe-mercedes_benz-sprinter-business-311-2009-5575573,Mercedes,Benz Sprinter Business 311
Ford Ranger Wildtrak 3.2L 4x4 AT,2016,560000000.0,Nhập khẩu,Pickup,68140,Dầu,Số tự động,https://bonbanh.com/xe-ford-ranger-wildtrak-3.2l-4x4-at-2016-5598371,Ford,Ranger Wildtrak 3.2L 4x4 AT
Porsche Panamera 2.9 V6,2020,4379000000.0,Nhập khẩu,Sedan,18000,Xăng,Số tự động,https://bonbanh.com/xe-porsche-panamera-2.9-v6-2020-5538583,Porsche,Panamera 2.9 V6
Toyota Wigo 1.2 AT,2021,335000000.0,Nhập khẩu,Hatchback,26728,Xăng,Số tự động,https://bonbanh.com/xe-toyota-wigo-1.2-at-2021-5624973,Toyota,Wigo 1.2 AT
Hyundai Accent 1.4 AT Đặc Biệt,2022,475000000.0,Lắp ráp trong nước,Sedan,34000,Xăng,Số tự động,https://bonbanh.com/xe-hyundai-accent-1.4-at-dac-biet-2022-5620231,Hyundai,Accent 1.4 AT Đặc Biệt
Chevrolet Aveo LTZ 1.5 AT,2015,255000000.0,Lắp ráp trong nước,Sedan,35000,Xăng,Số tự động,https://bonbanh.com/xe-chevrolet-aveo-ltz-1.5-at-2015-5605660,Chevrolet,Aveo LTZ 1.5 AT
Toyota Raize G 1.0 CVT,2022,515000000.0,Nhập khẩu,SUV,36000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-raize-g-1.0-cvt-2022-5583030,Toyota,Raize G 1.0 CVT
Toyota Veloz Cross Top 1.5 CVT,2023,629000000.0,Lắp ráp trong nước,SUV,12000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-veloz-cross-top-1.5-cvt-2023-5631441,Toyota,Veloz Cross Top 1.5 CVT
Kia Cerato 2.0 AT Premium,2021,555000000.0,Lắp ráp trong nước,Sedan,31000,Xăng,Số tự động,https://bonbanh.com/xe-kia-cerato-2.0-at-premium-2021-5542162,Kia,Cerato 2.0 AT Premium
Mitsubishi Xpander Cross 1.5 AT,2023,670000000.0,Nhập khẩu,SUV,17000,Xăng,Số tự động,https://bonbanh.com/xe-mitsubishi-xpander-cross-1.5-at-2023-5592216,Mitsubishi,Xpander Cross 1.5 AT
Toyota Fortuner 2.4G 4x2 MT,2019,773000000.0,Lắp ráp trong nước,SUV,89688,Dầu,Số tay,https://bonbanh.com/xe-toyota-fortuner-2.4g-4x2-mt-2019-5612397,Toyota,Fortuner 2.4G 4x2 MT
Hyundai SantaFe 2.2L,2018,756000000.0,Lắp ráp trong nước,SUV,73000,Dầu,Số tự động,https://bonbanh.com/xe-hyundai-santafe-2.2l-2018-5640325,Hyundai,SantaFe 2.2L
Mazda CX5 2.0 AT,2015,485000000.0,Lắp ráp trong nước,SUV,10000,Xăng,Số tự động,https://bonbanh.com/xe-mazda-cx5-2.0-at-2015-5632094,Mazda,CX5 2.0 AT
Honda Civic G 1.8 AT,2019,570000000.0,Nhập khẩu,Sedan,75000,Xăng,Số tự động,https://bonbanh.com/xe-honda-civic-g-1.8-at-2019-5630854,Honda,Civic G 1.8 AT
Toyota Veloz Cross 1.5 CVT,2022,580000000.0,Nhập khẩu,SUV,60000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-veloz-cross-1.5-cvt-2022-5568557,Toyota,Veloz Cross 1.5 CVT
Hyundai SantaFe 2.2L HTRAC,2019,829000000.0,Lắp ráp trong nước,SUV,52000,Dầu,Số tự động,https://bonbanh.com/xe-hyundai-santafe-2.2l-htrac-2019-5633781,Hyundai,SantaFe 2.2L HTRAC
Chevrolet Colorado LT 2.5L 4x2 AT,2018,389000000.0,Nhập khẩu,Pickup,80000,Dầu,Số tự động,https://bonbanh.com/xe-chevrolet-colorado-lt-2.5l-4x2-at-2018-5563524,Chevrolet,Colorado LT 2.5L 4x2 AT
VinFast VF8 Eco,2022,785000000.0,Lắp ráp trong nước,SUV,16000,Điện,Số tự động,https://bonbanh.com/xe-vinfast-vf8-eco-2022-5593179,VinFast,VF8 Eco
Toyota Camry 2.0Q,2022,1099000000.0,Nhập khẩu,Sedan,42000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-camry-2.0q-2022-5613097,Toyota,Camry 2.0Q
Mitsubishi Outlander 2.0 CVT,2019,595000000.0,Lắp ráp trong nước,SUV,67000,Xăng,Số tự động,https://bonbanh.com/xe-mitsubishi-outlander-2.0-cvt-2019-5613439,Mitsubishi,Outlander 2.0 CVT
LandRover Range Rover Evoque Dynamic,2014,795000000.0,Nhập khẩu,SUV,60000,Xăng,Số tự động,https://bonbanh.com/xe-landrover-range_rover_evoque-dynamic-2014-4737334,LandRover,Range Rover Evoque Dynamic
Porsche Panamera 3.0 V6,2018,3580000000.0,Nhập khẩu,Sedan,40000,Xăng,Số tự động,https://bonbanh.com/xe-porsche-panamera-3.0-v6-2018-5520770,Porsche,Panamera 3.0 V6
Mercedes Benz C class C300 AMG,2022,1799000000.0,Nhập khẩu,Sedan,17000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2022-5324000,Mercedes,Benz C class C300 AMG
Toyota Corolla altis 1.8G AT,2020,615000000.0,Lắp ráp trong nước,Sedan,13000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-at-2020-5632468,Toyota,Corolla altis 1.8G AT
Toyota Vios E CVT,2021,440000000.0,Lắp ráp trong nước,Sedan,51000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-vios-e-cvt-2021-5640313,Toyota,Vios E CVT
Mercedes Benz E class E200,2014,585000000.0,Lắp ráp trong nước,Sedan,100000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-e_class-e200-2014-5551381,Mercedes,Benz E class E200
Toyota Fortuner 2.7V 4x2 AT,2014,445000000.0,Lắp ráp trong nước,SUV,85000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2014-5480920,Toyota,Fortuner 2.7V 4x2 AT
Toyota Wigo 1.2G AT,2019,305000000.0,Nhập khẩu,Hatchback,40000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-wigo-1.2g-at-2019-5615143,Toyota,Wigo 1.2G AT
Kia Morning SX 1.1 AT Sportpack,2010,180000000.0,Lắp ráp trong nước,Hatchback,140000,Xăng,Số tự động,https://bonbanh.com/xe-kia-morning-sx-1.1-at-sportpack-2010-5597250,Kia,Morning SX 1.1 AT Sportpack
Mitsubishi Attrage 1.2 CVT,2022,400000000.0,Nhập khẩu,Sedan,25446,Xăng,Số tự động,https://bonbanh.com/xe-mitsubishi-attrage-1.2-cvt-2022-5611640,Mitsubishi,Attrage 1.2 CVT
Mercedes Benz C class C300 AMG,2022,1739000000.0,Lắp ráp trong nước,Sedan,38000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2022-5529560,Mercedes,Benz C class C300 AMG
Toyota Fortuner 2.5G,2016,600000000.0,Lắp ráp trong nước,SUV,120000,Dầu,Số tay,https://bonbanh.com/xe-toyota-fortuner-2.5g-2016-5547230,Toyota,Fortuner 2.5G
Lexus ES 300h,2022,2860000000.0,Nhập khẩu,Sedan,20000,Hybrid,Số tự động,https://bonbanh.com/xe-lexus-es-300h-2022-5631816,Lexus,ES 300h
Mitsubishi Triton 4x2 AT Mivec,2021,540000000.0,Nhập khẩu,Pickup,52000,Dầu,Số tự động,https://bonbanh.com/xe-mitsubishi-triton-4x2-at-mivec-2021-5636891,Mitsubishi,Triton 4x2 AT Mivec
Toyota Fortuner 2.7V 4x2 AT,2020,855000000.0,Nhập khẩu,SUV,82000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2020-5612432,Toyota,Fortuner 2.7V 4x2 AT
Hyundai SantaFe 2.4L,2018,660000000.0,Lắp ráp trong nước,SUV,73000,Xăng,Số tự động,https://bonbanh.com/xe-hyundai-santafe-2.4l-2018-5625813,Hyundai,SantaFe 2.4L
Honda City RS 1.5 AT,2021,498000000.0,Lắp ráp trong nước,Sedan,27000,Xăng,Số tự động,https://bonbanh.com/xe-honda-city-rs-1.5-at-2021-5610125,Honda,City RS 1.5 AT
Kia Carnival Luxury 2.2D,2022,1110000000.0,Lắp ráp trong nước,Van/Minivan,16000,Dầu,Số tự động,https://bonbanh.com/xe-kia-carnival-luxury-2.2d-2022-5560921,Kia,Carnival Luxury 2.2D
Mazda CX8 Premium,2021,869000000.0,Lắp ráp trong nước,SUV,5000089,Xăng,Số tự động,https://bonbanh.com/xe-mazda-cx8-premium-2021-5436434,Mazda,CX8 Premium
Mercedes Benz C class C300 AMG,2019,1090000000.0,Lắp ráp trong nước,Sedan,19000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2019-5546966,Mercedes,Benz C class C300 AMG
Honda City 1.5TOP,2018,430000000.0,Lắp ráp trong nước,Sedan,86000,Xăng,Số tự động,https://bonbanh.com/xe-honda-city-1.5top-2018-5571239,Honda,City 1.5TOP
Hyundai Ioniq 5 Prestige,2023,1280000000.0,Lắp ráp trong nước,SUV,8000,Điện,Số tự động,https://bonbanh.com/xe-hyundai-ioniq-5-prestige-2023-5640308,Hyundai,Other
Mercedes Benz GLC 250 4Matic,2017,1099000000.0,Lắp ráp trong nước,SUV,30000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-glc-250-4matic-2017-5631520,Mercedes,Benz GLC 250 4Matic
Kia Sorento Signature 2.2 AT AWD,2021,980000000.0,Lắp ráp trong nước,SUV,40000,Dầu,Số tự động,https://bonbanh.com/xe-kia-sorento-signature-2.2-at-awd-2021-5620832,Kia,Sorento Signature 2.2 AT AWD
Mazda 3 1.5L Luxury,2024,655000000.0,Lắp ráp trong nước,Sedan,22000,Xăng,Số tự động,https://bonbanh.com/xe-mazda-3-1.5l-luxury-2024-5640315,Mazda,3 1.5L Luxury
LandRover Range Rover Autobiography 3.0,2015,2950000000.0,Nhập khẩu,SUV,65000,Xăng,Số tự động,https://bonbanh.com/xe-landrover-range_rover-autobiography-3.0-2015-5633793,LandRover,Range Rover Autobiography 3.0
Kia Cerato 2.0 AT Premium,2020,535000000.0,Lắp ráp trong nước,Sedan,32000,Xăng,Số tự động,https://bonbanh.com/xe-kia-cerato-2.0-at-premium-2020-5544130,Kia,Cerato 2.0 AT Premium
Ford Territory Titanium 1.5 AT,2022,845000000.0,Lắp ráp trong nước,SUV,12000,Xăng,Số tự động,https://bonbanh.com/xe-ford-territory-titanium-1.5-at-2022-5629048,Ford,Territory Titanium 1.5 AT
Kia Carnival Signature 2.2D,2022,1350000000.0,Lắp ráp trong nước,Van/Minivan,18000,Dầu,Số tự động,https://bonbanh.com/xe-kia-carnival-signature-2.2d-2022-5624886,Kia,Carnival Signature 2.2D
Renault Latitude 2.0 AT,2014,340000000.0,Nhập khẩu,Sedan,140000,Xăng,Số tự động,https://bonbanh.com/xe-renault-latitude-2.0-at-2014-5638257,Other,Latitude 2.0 AT
Mercedes Benz GLC 300 4Matic,2022,2099000000.0,Lắp ráp trong nước,SUV,9999,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-5636772,Mercedes,Benz GLC 300 4Matic
Mercedes Benz GLS 450 4Matic,2021,4400000000.0,Nhập khẩu,SUV,13000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-gls-450-4matic-2021-5600077,Mercedes,Benz GLS 450 4Matic
Mazda CX5 Premium 2.0 AT,2021,775000000.0,Lắp ráp trong nước,SUV,50000,Xăng,Số tự động,https://bonbanh.com/xe-mazda-cx5-premium-2.0-at-2021-5595764,Mazda,CX5 Premium 2.0 AT
Mazda CX5 Luxury 2.0 AT,2022,785000000.0,Lắp ráp trong nước,SUV,13700,Xăng,Số tự động,https://bonbanh.com/xe-mazda-cx5-luxury-2.0-at-2022-5600664,Mazda,CX5 Luxury 2.0 AT
Mitsubishi Triton 4x2 AT Mivec Premium,2019,540000000.0,Nhập khẩu,Pickup,70000,Dầu,Số tự động,https://bonbanh.com/xe-mitsubishi-triton-4x2-at-mivec-premium-2019-5602803,Mitsubishi,Triton 4x2 AT Mivec Premium
Toyota Raize G 1.0 CVT,2022,525000000.0,Nhập khẩu,SUV,10000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-raize-g-1.0-cvt-2022-5636885,Toyota,Raize G 1.0 CVT
Hyundai Elantra 2.0 AT,2022,599000000.0,Lắp ráp trong nước,Sedan,20000,Xăng,Số tự động,https://bonbanh.com/xe-hyundai-elantra-2.0-at-2022-5634893,Hyundai,Elantra 2.0 AT
Mercedes Benz E class E200,2018,1080000000.0,Lắp ráp trong nước,Sedan,77000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-e_class-e200-2018-5640312,Mercedes,Benz E class E200
Mazda 3 1.5L Luxury,2021,555000000.0,Lắp ráp trong nước,Sedan,60000,Xăng,Số tự động,https://bonbanh.com/xe-mazda-3-1.5l-luxury-2021-5582316,Mazda,3 1.5L Luxury
VinFast VF9 Plus,2023,1200000000.0,Lắp ráp trong nước,SUV,21000,Điện,Số tự động,https://bonbanh.com/xe-vinfast-vf9-plus-2023-5640309,VinFast,VF9 Plus
Hyundai i10 Grand 1.0 MT Base,2014,160000000.0,Nhập khẩu,Hatchback,96000,Xăng,Số tay,https://bonbanh.com/xe-hyundai-i10-grand-1.0-mt-base-2014-5627179,Hyundai,i10 Grand 1.0 MT Base
Hyundai Elantra 2.0 AT,2021,560000000.0,Lắp ráp trong nước,Sedan,20000,Xăng,Số tự động,https://bonbanh.com/xe-hyundai-elantra-2.0-at-2021-5557601,Hyundai,Elantra 2.0 AT
Mercedes Benz GLC 300 4Matic,2019,1399000000.0,Lắp ráp trong nước,SUV,23000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2019-4879197,Mercedes,Benz GLC 300 4Matic
BMW 5 Series 520i Luxury,2021,1680000000.0,Nhập khẩu,Sedan,54000,Xăng,Số tự động,https://bonbanh.com/xe-bmw-5_series-520i-luxury-2021-5516660,BMW,5 Series 520i Luxury
Kia Carens SXMT,2012,235000000.0,Lắp ráp trong nước,Crossover,140000,Xăng,Số tay,https://bonbanh.com/xe-kia-carens-sxmt-2012-5597611,Kia,Carens SXMT
Mazda CX5 2.5 AT 2WD,2018,668000000.0,Lắp ráp trong nước,SUV,73000,Xăng,Số tự động,https://bonbanh.com/xe-mazda-cx5-2.5-at-2wd-2018-5637551,Mazda,CX5 2.5 AT 2WD
Toyota Innova 2.0E,2016,365000000.0,Lắp ráp trong nước,Crossover,110000,Xăng,Số tay,https://bonbanh.com/xe-toyota-innova-2.0e-2016-5575395,Toyota,Innova 2.0E
Lexus ES 250,2016,1279000000.0,Nhập khẩu,Sedan,70000,Xăng,Số tự động,https://bonbanh.com/xe-lexus-es-250-2016-5620769,Lexus,ES 250
Hyundai SantaFe Cao cấp 2.5L HTRAC,2021,1055000000.0,Lắp ráp trong nước,SUV,28700,Xăng,Số tự động,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.5l-htrac-2021-5553041,Hyundai,SantaFe Cao cấp 2.5L HTRAC
Toyota Vios 1.5G,2019,435000000.0,Lắp ráp trong nước,Sedan,49000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-vios-1.5g-2019-5634212,Toyota,Vios 1.5G
Chevrolet Colorado LTZ 2.8L 4x4 AT,2017,420000000.0,Nhập khẩu,Pickup,90000,Dầu,Số tự động,https://bonbanh.com/xe-chevrolet-colorado-ltz-2.8l-4x4-at-2017-5608404,Chevrolet,Colorado LTZ 2.8L 4x4 AT
Lexus RX 350,2010,795000000.0,Nhập khẩu,SUV,160900,Xăng,Số tự động,https://bonbanh.com/xe-lexus-rx-350-2010-5561928,Lexus,RX 350
VinFast Lux A 2.0 2.0 AT,2021,599000000.0,Lắp ráp trong nước,Sedan,40000,Xăng,Số tự động,https://bonbanh.com/xe-vinfast-lux_a_2.0-2.0-at-2021-5596747,VinFast,Lux A 2.0 2.0 AT
Infiniti QX 60 3.5 AWD,2015,950000000.0,Nhập khẩu,SUV,95000,Xăng,Số tự động,https://bonbanh.com/xe-infiniti-qx-60-3.5-awd-2015-5583202,Infiniti,QX 60 3.5 AWD
Kia Cerato 1.6 AT,2018,426000000.0,Lắp ráp trong nước,Sedan,68000,Xăng,Số tự động,https://bonbanh.com/xe-kia-cerato-1.6-at-2018-5556095,Kia,Cerato 1.6 AT
Volkswagen New Beetle 2.5 AT,2005,500000000.0,Nhập khẩu,Convertible,90000,Xăng,Số tự động,https://bonbanh.com/xe-volkswagen-new_beetle-2.5-at-2005-5573671,Volkswagen,New Beetle 2.5 AT
LandRover Range Rover HSE 3.0,2015,2799000000.0,Nhập khẩu,SUV,60000,Xăng,Số tự động,https://bonbanh.com/xe-landrover-range_rover-hse-3.0-2015-5600400,LandRover,Range Rover HSE 3.0
Toyota Camry 2.4G,2010,365000000.0,Lắp ráp trong nước,Sedan,110000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-camry-2.4g-2010-5593045,Toyota,Camry 2.4G
VinFast Lux A 2.0 Premium 2.0 AT,2021,678000000.0,Lắp ráp trong nước,Sedan,36000,Xăng,Số tự động,https://bonbanh.com/xe-vinfast-lux_a_2.0-premium-2.0-at-2021-5604496,VinFast,Lux A 2.0 Premium 2.0 AT
Ford Mustang EcoBoost,2014,1520000000.0,Nhập khẩu,Coupe,32000,Xăng,Số tự động,https://bonbanh.com/xe-ford-mustang-ecoboost-2014-5394610,Ford,Mustang EcoBoost
Hyundai SantaFe Cao cấp 2.4L HTRAC,2021,926000000.0,Lắp ráp trong nước,SUV,46000,Xăng,Số tự động,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.4l-htrac-2021-5640299,Hyundai,SantaFe Cao cấp 2.4L HTRAC
Hyundai Terracan 3.5 MT,2004,145000000.0,Nhập khẩu,SUV,185000,Xăng,Số tay,https://bonbanh.com/xe-hyundai-terracan-3.5-mt-2004-4757833,Hyundai,Other
Kia Rondo GATH,2016,390000000.0,Lắp ráp trong nước,SUV,91000,Xăng,Số tự động,https://bonbanh.com/xe-kia-rondo-gath-2016-5583242,Kia,Rondo GATH
Maserati GranTurismo 4.2 AT,2008,2600000000.0,Nhập khẩu,Coupe,64360,Xăng,Số tự động,https://bonbanh.com/xe-maserati-granturismo-4.2-at-2008-5620944,Maserati,Other
Nissan Sunny XV Premium S,2017,315000000.0,Lắp ráp trong nước,Sedan,78000,Xăng,Số tự động,https://bonbanh.com/xe-nissan-sunny-xv-premium-s-2017-5579892,Nissan,Sunny XV Premium S
Honda Odyssey 2.4 AT,2017,866000000.0,Nhập khẩu,Van/Minivan,80000,Xăng,Số tự động,https://bonbanh.com/xe-honda-odyssey-2.4-at-2017-5631092,Honda,Odyssey 2.4 AT
Kia K3 Premium 2.0 AT,2022,600000000.0,Lắp ráp trong nước,Sedan,11000,Xăng,Số tự động,https://bonbanh.com/xe-kia-k3-premium-2.0-at-2022-5617021,Kia,K3 Premium 2.0 AT
Mercedes Benz E class E300 AMG,2021,2190000000.0,Lắp ráp trong nước,Sedan,17000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-e_class-e300-amg-2021-5568448,Mercedes,Benz E class E300 AMG
VinFast VF9 Plus,2023,1200000000.0,Lắp ráp trong nước,SUV,21000,Điện,Số tự động,https://bonbanh.com/xe-vinfast-vf9-plus-2023-5640305,VinFast,VF9 Plus
Suzuki XL7 1.5 AT,2021,510000000.0,Nhập khẩu,SUV,31000,Xăng,Số tự động,https://bonbanh.com/xe-suzuki-xl7-1.5-at-2021-5640295,Suzuki,XL7 1.5 AT
Kia Carnival Signature 2.2D,2022,1320000000.0,Lắp ráp trong nước,Van/Minivan,41000,Dầu,Số tự động,https://bonbanh.com/xe-kia-carnival-signature-2.2d-2022-5620487,Kia,Carnival Signature 2.2D
Mercedes Benz GLC 200,2019,1030000000.0,Lắp ráp trong nước,SUV,55000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-glc-200-2019-5509169,Mercedes,Benz GLC 200
BMW 3 Series 320i,2016,660000000.0,Nhập khẩu,Sedan,100000,Xăng,Số tự động,https://bonbanh.com/xe-bmw-3_series-320i-2016-5570493,BMW,3 Series 320i
